timestamp,UTC time,latitude,longitude,altitude,accuracy
1571058169156,2019-10-14T13:02:49.156,40.51325694456224,-79.80444113645909,255.18112182617188,65.0
1571058184798,2019-10-14T13:03:04.798,40.51325694456224,-79.80444113645909,255.18112182617188,65.0
1571058185070,2019-10-14T13:03:05.070,40.513259195258264,-79.80443629218684,255.18112182617188,65.0
1571058185234,2019-10-14T13:03:05.234,40.513239090752656,-79.80448433425,255.11932373046875,65.0
1571058186391,2019-10-14T13:03:06.391,40.51322812683928,-79.80450318202358,256.1940574645996,50.0
1571058186986,2019-10-14T13:03:06.986,40.51322812683928,-79.80450318202358,256.18606185913086,50.0
1571058187986,2019-10-14T13:03:07.986,40.51322812683928,-79.80450318202358,256.2359275817871,50.0
1571058188992,2019-10-14T13:03:08.992,40.51322812683928,-79.80450318202358,256.29677963256836,50.0
1571058189992,2019-10-14T13:03:09.992,40.51322812683928,-79.80450318202358,256.3588523864746,50.0
1571058190993,2019-10-14T13:03:10.993,40.51317670386332,-79.80453117758017,256.4362449645996,50.0
1571058191993,2019-10-14T13:03:11.993,40.51317670386332,-79.80453117758017,256.48415756225586,50.0
1571058192993,2019-10-14T13:03:12.993,40.51317670386332,-79.80453117758017,256.5281639099121,50.0
1571058193994,2019-10-14T13:03:13.994,40.51317670386332,-79.80453117758017,256.5409812927246,50.0
1571058194994,2019-10-14T13:03:14.994,40.51317670386332,-79.80453117758017,256.5479393005371,50.0
1571058195995,2019-10-14T13:03:15.995,40.513132237867,-79.80454534299653,256.5856590270996,50.0
1571058196995,2019-10-14T13:03:16.995,40.513132237867,-79.80454534299653,256.6114158630371,30.0
1571058197995,2019-10-14T13:03:17.995,40.513132237867,-79.80454534299653,256.64931869506836,30.0
1571058198995,2019-10-14T13:03:18.995,40.513132237867,-79.80454534299653,256.6769676208496,30.0
1571058199996,2019-10-14T13:03:19.996,40.513132237867,-79.80454534299653,256.69399642944336,30.0
1571058200996,2019-10-14T13:03:20.996,40.513132237867,-79.80454534299653,256.72121810913086,30.0
1571058201996,2019-10-14T13:03:21.996,40.513132237867,-79.80454534299653,256.6530418395996,30.0
1571058202996,2019-10-14T13:03:22.996,40.513132237867,-79.80454534299653,256.6412010192871,30.0
1571058203997,2019-10-14T13:03:23.997,40.513132237867,-79.80454534299653,256.6396141052246,30.0
1571058204997,2019-10-14T13:03:24.997,40.513132237867,-79.80454534299653,256.5923728942871,30.0
1571058205997,2019-10-14T13:03:25.997,40.51308819096583,-79.80456143625062,256.5492820739746,30.0
1571058206997,2019-10-14T13:03:26.997,40.51308819096583,-79.80456143625062,256.5247459411621,30.0
1571058207997,2019-10-14T13:03:27.997,40.51308819096583,-79.80456143625062,256.51345443725586,30.0
1571058208997,2019-10-14T13:03:28.997,40.51308819096583,-79.80456143625062,256.5047264099121,30.0
1571058209997,2019-10-14T13:03:29.997,40.51308819096583,-79.80456143625062,256.4808006286621,30.0
1571058210998,2019-10-14T13:03:30.998,40.51308819096583,-79.80456143625062,256.4859275817871,30.0
1571058211998,2019-10-14T13:03:31.998,40.51308819096583,-79.80456143625062,256.4855613708496,30.0
1571058212998,2019-10-14T13:03:32.998,40.51308819096583,-79.80456143625062,256.4993553161621,30.0
1571058213998,2019-10-14T13:03:33.998,40.51308819096583,-79.80456143625062,256.4952049255371,30.0
1571058214998,2019-10-14T13:03:34.998,40.51308819096583,-79.80456143625062,256.4867820739746,30.0
1571058215998,2019-10-14T13:03:35.998,40.51308819096583,-79.80456143625062,256.4510154724121,30.0
1571058216998,2019-10-14T13:03:36.998,40.51308819096583,-79.80456143625062,256.44607162475586,30.0
1571058217998,2019-10-14T13:03:37.998,40.51308819096583,-79.80456143625062,256.4076805114746,30.0
1571058218998,2019-10-14T13:03:38.998,40.51308819096583,-79.80456143625062,256.3827781677246,30.0
1571058219998,2019-10-14T13:03:39.998,40.51308819096583,-79.80456143625062,256.3599510192871,30.0
1571058220998,2019-10-14T13:03:40.998,40.51308819096583,-79.80456143625062,256.3554344177246,30.0
1571058221998,2019-10-14T13:03:41.998,40.51308819096583,-79.80456143625062,256.3151512145996,30.0
1571058222998,2019-10-14T13:03:42.998,40.51310562532443,-79.804617930278,256.2856101989746,30.0
1571058223998,2019-10-14T13:03:43.998,40.51310562532443,-79.804617930278,256.2528953552246,30.0
1571058224998,2019-10-14T13:03:44.998,40.51310562532443,-79.804617930278,256.2177391052246,30.0
1571058225998,2019-10-14T13:03:45.998,40.51310562532443,-79.804617930278,256.2006492614746,30.0
1571058226999,2019-10-14T13:03:46.999,40.51310562532443,-79.804617930278,256.16262435913086,30.0
1571058227999,2019-10-14T13:03:47.999,40.51310562532443,-79.804617930278,256.13943099975586,30.0
1571058228999,2019-10-14T13:03:48.999,40.51310562532443,-79.804617930278,256.1183738708496,30.0
1571058229999,2019-10-14T13:03:49.999,40.51310562532443,-79.804617930278,256.1204490661621,30.0
1571058230999,2019-10-14T13:03:50.999,40.51310562532443,-79.804617930278,256.11770248413086,30.0
1571058231999,2019-10-14T13:03:51.999,40.51310562532443,-79.804617930278,256.1172752380371,30.0
1571058232999,2019-10-14T13:03:52.999,40.51310562532443,-79.804617930278,256.1300926208496,30.0
1571058233999,2019-10-14T13:03:53.999,40.51310562532443,-79.804617930278,256.1369285583496,30.0
1571058234999,2019-10-14T13:03:54.999,40.51310562532443,-79.804617930278,256.1599998474121,30.0
1571058235999,2019-10-14T13:03:55.999,40.51310562532443,-79.804617930278,256.16299057006836,30.0
