timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1570518106937,2019-10-08T07:01:46.937,1570469314229,11,0.33,file_flush,Flushing lines to file,SG00110_powerState_1570516127011,1,,1304
1570518168802,2019-10-08T07:02:48.802,1570469314229,11,0.34,file_flush,Flushing lines to file,SG00110_powerState_1570516127011,1,,1305
1570518287051,2019-10-08T07:04:47.051,1570469314229,11,0.34,poll_service,Polling service,,,,1306
1570518287053,2019-10-08T07:04:47.053,1570469314229,11,0.34,gps_on,GPS collection on,,,,1307
1570518287087,2019-10-08T07:04:47.087,1570469314229,12,0.34,set_timer,Set timer for 59.967373847961426 seconds,59.967373847961426,,,1308
1570518287245,2019-10-08T07:04:47.245,1570469314229,15,0.34,file_flush,Flushing lines to file,SG00110_gps_1570518287245,3,,1309
1570518287245,2019-10-08T07:04:47.245,1570469314229,15,0.34,file_init,Init new data file,SG00110_gps_1570518287245,false,,1310
1570518287930,2019-10-08T07:04:47.930,1570469314229,16,0.34,uploaded,Uploaded data file,SG00110_ios_log_1570516127016.csv,,,1311
1570518288258,2019-10-08T07:04:48.258,1570469314229,17,0.34,uploaded,Uploaded data file,SG00110_gps_1570516127011.csv,,,1312
1570518288472,2019-10-08T07:04:48.472,1570469314229,17,0.34,uploaded,Uploaded data file,SG00110_ios_log_1570516127004.csv,,,1313
1570518288706,2019-10-08T07:04:48.706,1570469314229,17,0.34,uploaded,Uploaded data file,SG00110_powerState_1570516127011.csv,,,1314
1570518288712,2019-10-08T07:04:48.712,1570469314229,17,0.34,upload_complete,Upload Complete,4,,,1315
1570518312977,2019-10-08T07:05:12.977,1570469314229,17,0.35,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,3,,1316
1570518312977,2019-10-08T07:05:12.977,1570469314229,17,0.35,file_create,Create new data file,SG00110_powerState_1570518287247,false,,1317
1570518347143,2019-10-08T07:05:47.143,1570469314229,16,0.35,poll_service,Polling service,,,,1318
1570518347145,2019-10-08T07:05:47.145,1570469314229,16,0.35,gps_off,GPS collection off,,,,1319
1570518347158,2019-10-08T07:05:47.158,1570469314229,16,0.35,set_timer,Set timer for 659.9961810112 seconds,659.9961810112,,,1320
1570518347170,2019-10-08T07:05:47.170,1570469314229,16,0.35,file_flush,Flushing lines to file,SG00110_gps_1570518287246,61,,1321
1570518347170,2019-10-08T07:05:47.170,1570469314229,16,0.35,file_create,Create new data file,SG00110_gps_1570518287246,false,,1322
1570518374869,2019-10-08T07:06:14.869,1570469314229,16,0.36,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1323
1570518436824,2019-10-08T07:07:16.824,1570469314229,16,0.37,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1324
1570518540078,2019-10-08T07:09:00.078,1570469314229,16,0.38,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1325
1570518581338,2019-10-08T07:09:41.338,1570469314229,16,0.39,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1326
1570518622774,2019-10-08T07:10:22.774,1570469314229,16,0.38,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1327
1570518643404,2019-10-08T07:10:43.404,1570469314229,16,0.39,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1328
1570518726355,2019-10-08T07:12:06.355,1570469314229,15,0.4,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1329
1570518767586,2019-10-08T07:12:47.586,1570469314229,12,0.41,file_flush,Flushing lines to file,SG00110_powerState_1570518287247,1,,1330
