timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1572188161616,2019-10-27T14:56:01.616,1572188161266,37,-1.0,launch,Application launch,location,1,,0
1572188161622,2019-10-27T14:56:01.622,1572188161266,37,-1.0,file_init,Init new data file,SG00110_gps_1572188161621,false,,1
1572188161623,2019-10-27T14:56:01.623,1572188161266,37,-1.0,file_init,Init new data file,SG00110_powerState_1572188161622,false,,2
1572188161627,2019-10-27T14:56:01.627,1572188161266,37,-1.0,set_timer,Set timer for 1.0 seconds,1.0,,,3
1572188162656,2019-10-27T14:56:02.656,1572188161266,42,-1.0,poll_service,Polling service,,,,4
1572188162659,2019-10-27T14:56:02.659,1572188161266,42,-1.0,collecting,Collecting Data,,,,5
1572188162664,2019-10-27T14:56:02.664,1572188161266,42,-1.0,gps_on,GPS collection on,,,,6
1572188162679,2019-10-27T14:56:02.679,1572188161266,42,0.99,powerstate_on,PowerState collection on,,,,7
1572188162687,2019-10-27T14:56:02.687,1572188161266,42,0.99,set_timer,Set timer for 59.97080993652344 seconds,59.97080993652344,,,8
1572188186922,2019-10-27T14:56:26.922,1572188161266,42,0.98,file_flush,Flushing lines to file,SG00110_powerState_1572188161622,3,,9
1572188186925,2019-10-27T14:56:26.925,1572188161266,42,0.98,file_create,Create new data file,SG00110_powerState_1572188161622,false,,10
1572188222706,2019-10-27T14:57:02.706,1572188161266,43,0.98,poll_service,Polling service,,,,11
1572188222709,2019-10-27T14:57:02.709,1572188161266,43,0.98,gps_off,GPS collection off,,,,12
1572188222715,2019-10-27T14:57:02.715,1572188161266,43,0.98,set_timer,Set timer for 659.9950020313263 seconds,659.9950020313263,,,13
1572188222732,2019-10-27T14:57:02.732,1572188161266,43,0.98,file_flush,Flushing lines to file,SG00110_gps_1572188161621,63,,14
1572188222732,2019-10-27T14:57:02.732,1572188161266,43,0.98,file_create,Create new data file,SG00110_gps_1572188161621,false,,15
1572188283707,2019-10-27T14:58:03.707,1572188161266,43,0.98,upload_file_failed,Failed Uploaded data file,SG00110_ios_log_1571896228221.csv,,,16
1572188344563,2019-10-27T14:59:04.563,1572188161266,43,0.98,upload_file_failed,Failed Uploaded data file,SG00110_ios_log_1571900549025.csv,,,17
