timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1572220934665,2019-10-28T00:02:14.665,1572188161266,10,0.59,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1271
1572220969941,2019-10-28T00:02:49.941,1572188161266,11,0.59,memory_warn,Application received memory warning,,,,1272
1572220975569,2019-10-28T00:02:55.569,1572188161266,12,0.58,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1273
1572221201066,2019-10-28T00:06:41.066,1572188161266,11,0.57,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1274
1572221241997,2019-10-28T00:07:21.997,1572188161266,10,0.56,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1275
1572221262486,2019-10-28T00:07:42.486,1572188161266,10,0.55,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1276
1572221290211,2019-10-28T00:08:10.211,1572188161266,10,0.55,poll_service,Polling service,,,,1277
1572221290221,2019-10-28T00:08:10.221,1572188161266,11,0.55,gps_on,GPS collection on,,,,1278
1572221290336,2019-10-28T00:08:10.336,1572188161266,11,0.55,set_timer,Set timer for 59.87784790992737 seconds,59.87784790992737,,,1279
1572221350254,2019-10-28T00:09:10.254,1572188161266,11,0.55,poll_service,Polling service,,,,1280
1572221350256,2019-10-28T00:09:10.256,1572188161266,11,0.55,gps_off,GPS collection off,,,,1281
1572221350262,2019-10-28T00:09:10.262,1572188161266,11,0.55,set_timer,Set timer for 659.9969019889832 seconds,659.9969019889832,,,1282
1572221350271,2019-10-28T00:09:10.271,1572188161266,11,0.55,file_flush,Flushing lines to file,SG00110_gps_1572219849956,58,,1283
1572221488510,2019-10-28T00:11:28.510,1572188161266,10,0.54,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1284
1572221550105,2019-10-28T00:12:30.105,1572188161266,10,0.53,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1285
1572221560925,2019-10-28T00:12:40.925,1572188161266,10,0.53,memory_warn,Application received memory warning,,,,1286
1572221867897,2019-10-28T00:17:47.897,1572188161266,10,0.53,memory_warn,Application received memory warning,,,,1287
1572221873566,2019-10-28T00:17:53.566,1572188161266,10,0.53,memory_warn,Application received memory warning,,,,1288
1572221899012,2019-10-28T00:18:19.012,1572188161266,11,0.52,file_flush,Flushing lines to file,SG00110_powerState_1572219849957,1,,1289
1572222010263,2019-10-28T00:20:10.263,1572188161266,11,0.52,poll_service,Polling service,,,,1290
1572222010267,2019-10-28T00:20:10.267,1572188161266,11,0.52,gps_on,GPS collection on,,,,1291
1572222010515,2019-10-28T00:20:10.515,1572188161266,12,0.52,set_timer,Set timer for 59.747987270355225 seconds,59.747987270355225,,,1292
1572222010732,2019-10-28T00:20:10.732,1572188161266,15,0.52,file_flush,Flushing lines to file,SG00110_gps_1572222010731,4,,1293
1572222010732,2019-10-28T00:20:10.732,1572188161266,15,0.52,file_init,Init new data file,SG00110_gps_1572222010731,false,,1294
1572222011476,2019-10-28T00:20:11.476,1572188161266,16,0.52,uploaded,Uploaded data file,SG00110_powerState_1572219849957.csv,,,1295
1572222011796,2019-10-28T00:20:11.796,1572188161266,16,0.52,uploaded,Uploaded data file,SG00110_ios_log_1572219849960.csv,,,1296
1572222011977,2019-10-28T00:20:11.977,1572188161266,16,0.52,uploaded,Uploaded data file,SG00110_ios_log_1572219849951.csv,,,1297
1572222012299,2019-10-28T00:20:12.299,1572188161266,16,0.52,uploaded,Uploaded data file,SG00110_gps_1572219849956.csv,,,1298
1572222012307,2019-10-28T00:20:12.307,1572188161266,16,0.52,upload_complete,Upload Complete,4,,,1299
