timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1571058184778,2019-10-14T13:03:04.778,1571048101763,18,0.51,poll_service,Polling service,,,,227
1571058184780,2019-10-14T13:03:04.780,1571048101763,18,0.51,gps_on,GPS collection on,,,,228
1571058184784,2019-10-14T13:03:04.784,1571048101763,18,0.51,set_timer,Set timer for 59.996315002441406 seconds,59.996315002441406,,,229
1571058244853,2019-10-14T13:04:04.853,1571048101763,18,0.51,poll_service,Polling service,,,,230
1571058244856,2019-10-14T13:04:04.856,1571048101763,18,0.51,gps_off,GPS collection off,,,,231
1571058244863,2019-10-14T13:04:04.863,1571048101763,18,0.51,set_timer,Set timer for 659.9934530258179 seconds,659.9934530258179,,,232
1571058244876,2019-10-14T13:04:04.876,1571048101763,18,0.51,file_flush,Flushing lines to file,SG00110_gps_1571056744793,63,,233
1571058577925,2019-10-14T13:09:37.925,1571048101763,17,0.5,file_flush,Flushing lines to file,SG00110_powerState_1571056744788,1,,234
1571058904946,2019-10-14T13:15:04.946,1571048101763,20,0.5,poll_service,Polling service,,,,235
1571058904948,2019-10-14T13:15:04.948,1571048101763,20,0.5,gps_on,GPS collection on,,,,236
1571058905022,2019-10-14T13:15:05.022,1571048101763,21,0.5,set_timer,Set timer for 59.9923779964447 seconds,59.9923779964447,,,237
1571058905161,2019-10-14T13:15:05.161,1571048101763,21,0.5,file_flush,Flushing lines to file,SG00110_gps_1571058905150,2,,238
1571058905162,2019-10-14T13:15:05.162,1571048101763,21,0.5,file_init,Init new data file,SG00110_gps_1571058905150,false,,239
1571058906102,2019-10-14T13:15:06.102,1571048101763,22,0.5,uploaded,Uploaded data file,SG00110_gps_1571056744793.csv,,,240
1571058906314,2019-10-14T13:15:06.314,1571048101763,22,0.5,uploaded,Uploaded data file,SG00110_powerState_1571056744788.csv,,,241
1571058906600,2019-10-14T13:15:06.600,1571048101763,22,0.5,uploaded,Uploaded data file,SG00110_ios_log_1571056744796.csv,,,242
1571058906816,2019-10-14T13:15:06.816,1571048101763,22,0.5,uploaded,Uploaded data file,SG00110_ios_log_1571056744766.csv,,,243
1571058906823,2019-10-14T13:15:06.823,1571048101763,22,0.5,upload_complete,Upload Complete,4,,,244
1571058965042,2019-10-14T13:16:05.042,1571048101763,22,0.5,poll_service,Polling service,,,,245
1571058965044,2019-10-14T13:16:05.044,1571048101763,22,0.5,gps_off,GPS collection off,,,,246
1571058965070,2019-10-14T13:16:05.070,1571048101763,22,0.5,set_timer,Set timer for 659.9957439899445 seconds,659.9957439899445,,,247
1571058965080,2019-10-14T13:16:05.080,1571048101763,22,0.5,file_flush,Flushing lines to file,SG00110_gps_1571058905196,60,,248
1571058965080,2019-10-14T13:16:05.080,1571048101763,22,0.5,file_create,Create new data file,SG00110_gps_1571058905196,false,,249
1571059625099,2019-10-14T13:27:05.099,1571048101763,21,0.5,poll_service,Polling service,,,,250
1571059625101,2019-10-14T13:27:05.101,1571048101763,21,0.5,gps_on,GPS collection on,,,,251
1571059625184,2019-10-14T13:27:05.184,1571048101763,22,0.5,set_timer,Set timer for 59.991873025894165 seconds,59.991873025894165,,,252
1571059643582,2019-10-14T13:27:23.582,1571048101763,20,0.49,file_flush,Flushing lines to file,SG00110_powerState_1571058905188,3,,253
1571059643582,2019-10-14T13:27:23.582,1571048101763,20,0.49,file_create,Create new data file,SG00110_powerState_1571058905188,false,,254
1571059685116,2019-10-14T13:28:05.116,1571048101763,20,0.49,poll_service,Polling service,,,,255
1571059685118,2019-10-14T13:28:05.118,1571048101763,20,0.49,gps_off,GPS collection off,,,,256
1571059685132,2019-10-14T13:28:05.132,1571048101763,20,0.49,set_timer,Set timer for 659.9924659729004 seconds,659.9924659729004,,,257
1571059685133,2019-10-14T13:28:05.133,1571048101763,20,0.49,file_flush,Flushing lines to file,SG00110_gps_1571058905196,61,,258
1571060345210,2019-10-14T13:39:05.210,1571048101763,18,0.49,poll_service,Polling service,,,,259
1571060345213,2019-10-14T13:39:05.213,1571048101763,18,0.49,gps_on,GPS collection on,,,,260
1571060345220,2019-10-14T13:39:05.220,1571048101763,19,0.49,set_timer,Set timer for 59.99369287490845 seconds,59.99369287490845,,,261
1571060405259,2019-10-14T13:40:05.259,1571048101763,19,0.49,poll_service,Polling service,,,,262
1571060405263,2019-10-14T13:40:05.263,1571048101763,19,0.49,gps_off,GPS collection off,,,,263
1571060405273,2019-10-14T13:40:05.273,1571048101763,19,0.49,set_timer,Set timer for 659.9920020103455 seconds,659.9920020103455,,,264
1571060405289,2019-10-14T13:40:05.289,1571048101763,19,0.49,file_flush,Flushing lines to file,SG00110_gps_1571058905196,63,,265
1571060892870,2019-10-14T13:48:12.870,1571048101763,18,0.48,file_flush,Flushing lines to file,SG00110_powerState_1571058905188,1,,266
1571061065337,2019-10-14T13:51:05.337,1571048101763,19,0.48,poll_service,Polling service,,,,267
1571061065339,2019-10-14T13:51:05.339,1571048101763,19,0.48,gps_on,GPS collection on,,,,268
1571061065378,2019-10-14T13:51:05.378,1571048101763,19,0.48,set_timer,Set timer for 59.983843088150024 seconds,59.983843088150024,,,269
1571061065616,2019-10-14T13:51:05.616,1571048101763,21,0.48,file_flush,Flushing lines to file,SG00110_gps_1571061065611,2,,270
1571061065617,2019-10-14T13:51:05.617,1571048101763,21,0.48,file_init,Init new data file,SG00110_gps_1571061065611,false,,271
1571061066612,2019-10-14T13:51:06.612,1571048101763,23,0.48,uploaded,Uploaded data file,SG00110_gps_1571058905196.csv,,,272
