timestamp,UTC time,launchId,memory,battery,event,msg,d1,d2,d3,d4
1570475077349,2019-10-07T19:04:37.349,1570469314229,14,0.5,poll_service,Polling service,,,,137
1570475077363,2019-10-07T19:04:37.363,1570469314229,15,0.5,gps_on,GPS collection on,,,,138
1570475077432,2019-10-07T19:04:37.432,1570469314229,15,0.5,set_timer,Set timer for 59.950942039489746 seconds,59.950942039489746,,,139
1570475132283,2019-10-07T19:05:32.283,1570469314229,16,0.49,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,140
1570475137408,2019-10-07T19:05:37.408,1570469314229,16,0.49,poll_service,Polling service,,,,141
1570475137411,2019-10-07T19:05:37.411,1570469314229,16,0.49,gps_off,GPS collection off,,,,142
1570475137432,2019-10-07T19:05:37.432,1570469314229,16,0.49,set_timer,Set timer for 659.9883148670197 seconds,659.9883148670197,,,143
1570475137439,2019-10-07T19:05:37.439,1570469314229,16,0.49,file_flush,Flushing lines to file,SG00110_gps_1570473637413,49,,144
1570475234738,2019-10-07T19:07:14.738,1570469314229,16,0.48,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,145
1570475296344,2019-10-07T19:08:16.344,1570469314229,16,0.47,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,146
1570475316793,2019-10-07T19:08:36.793,1570469314229,16,0.46,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,147
1570475644600,2019-10-07T19:14:04.600,1570469314229,17,0.45,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,148
1570475747812,2019-10-07T19:15:47.812,1570469314229,14,0.44,file_flush,Flushing lines to file,SG00110_powerState_1570473637400,1,,149
1570475774992,2019-10-07T19:16:14.992,1570469314229,19,0.44,upload_complete,Upload Complete,0,,,150
1570475797467,2019-10-07T19:16:37.467,1570469314229,19,0.44,poll_service,Polling service,,,,151
1570475797470,2019-10-07T19:16:37.470,1570469314229,19,0.44,gps_on,GPS collection on,,,,152
1570475797475,2019-10-07T19:16:37.475,1570469314229,19,0.44,set_timer,Set timer for 59.99625301361084 seconds,59.99625301361084,,,153
1570475858024,2019-10-07T19:17:38.024,1570469314229,20,0.44,poll_service,Polling service,,,,154
1570475858095,2019-10-07T19:17:38.095,1570469314229,20,0.44,gps_off,GPS collection off,,,,155
1570475858134,2019-10-07T19:17:38.134,1570469314229,20,0.44,set_timer,Set timer for 659.9258370399475 seconds,659.9258370399475,,,156
1570475858197,2019-10-07T19:17:38.197,1570469314229,20,0.44,file_flush,Flushing lines to file,SG00110_gps_1570475774975,65,,157
1570475858197,2019-10-07T19:17:38.197,1570469314229,20,0.44,file_create,Create new data file,SG00110_gps_1570475774975,false,,158
1570475862080,2019-10-07T19:17:42.080,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_ios_log_1570473637288.csv,,,159
1570475862269,2019-10-07T19:17:42.269,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_gps_1570473637364.csv,,,160
1570475862500,2019-10-07T19:17:42.500,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_ios_log_1570473637416.csv,,,161
1570475862668,2019-10-07T19:17:42.668,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_powerState_1570473637400.csv,,,162
1570475862938,2019-10-07T19:17:42.938,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_gps_1570473637413.csv,,,163
1570475863165,2019-10-07T19:17:43.165,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_gps_1570475774975.csv,,,164
1570475863382,2019-10-07T19:17:43.382,1570469314229,21,0.44,uploaded,Uploaded data file,SG00110_ios_log_1570475774975.csv,,,165
