timestamp,UTC time,event,level
1570503609648,2019-10-08T03:00:09.648,Unplugged,0.2
1570503712120,2019-10-08T03:01:52.120,Unplugged,0.19
1570503753107,2019-10-08T03:02:33.107,Unplugged,0.18
1570503773586,2019-10-08T03:02:53.586,Unplugged,0.17
1570503917273,2019-10-08T03:05:17.273,Unplugged,0.16
1570503958225,2019-10-08T03:05:58.225,Unplugged,0.15
1570504019700,2019-10-08T03:06:59.700,Unplugged,0.14
1570504040195,2019-10-08T03:07:20.195,Unplugged,0.13
1570504409059,2019-10-08T03:13:29.059,Unplugged,0.12
1570504429528,2019-10-08T03:13:49.528,Unplugged,0.11
1570504675769,2019-10-08T03:17:55.769,Unplugged,0.1
1570504901243,2019-10-08T03:21:41.243,Unplugged,0.09
1570504929347,2019-10-08T03:22:09.347,Charging,0.09
1570504950938,2019-10-08T03:22:30.938,Charging,0.1
1570504971638,2019-10-08T03:22:51.638,Charging,0.11
1570504992322,2019-10-08T03:23:12.322,Charging,0.1
1570505095444,2019-10-08T03:24:55.444,Charging,0.11
1570505116100,2019-10-08T03:25:16.100,Charging,0.1
1570505178070,2019-10-08T03:26:18.070,Charging,0.11
1570505260576,2019-10-08T03:27:40.576,Charging,0.12
1570505322386,2019-10-08T03:28:42.386,Charging,0.13
1570505404845,2019-10-08T03:30:04.845,Charging,0.14
1570505569684,2019-10-08T03:32:49.684,Charging,0.15
1570505734561,2019-10-08T03:35:34.561,Charging,0.16
1570505766234,2019-10-08T03:36:06.234,Unplugged,0.16
1570506013377,2019-10-08T03:40:13.377,Unplugged,0.15
1570506116153,2019-10-08T03:41:56.153,Unplugged,0.14
1570506218636,2019-10-08T03:43:38.636,Unplugged,0.13
1570506403018,2019-10-08T03:46:43.018,Unplugged,0.12
1570506423533,2019-10-08T03:47:03.533,Unplugged,0.11
1570506464549,2019-10-08T03:47:44.549,Unplugged,0.1
1570506894860,2019-10-08T03:54:54.860,Unplugged,0.09
1570507038313,2019-10-08T03:57:18.313,Unplugged,0.08
1570507043493,2019-10-08T03:57:23.493,Charging,0.08
1570507084834,2019-10-08T03:58:04.834,Charging,0.09
1570507105417,2019-10-08T03:58:25.417,Charging,0.1
1570507188051,2019-10-08T03:59:48.051,Charging,0.11
