timestamp,UTC time,event,level
1571277690596,2019-10-17T02:01:30.596,Unplugged,0.56
1571277711086,2019-10-17T02:01:51.086,Unplugged,0.54
1571277813608,2019-10-17T02:03:33.608,Unplugged,0.53
1571277834139,2019-10-17T02:03:54.139,Unplugged,0.52
1571278121238,2019-10-17T02:08:41.238,Unplugged,0.51
1571278141757,2019-10-17T02:09:01.757,Unplugged,0.5
1571278162254,2019-10-17T02:09:22.254,Unplugged,0.49
1571278182759,2019-10-17T02:09:42.759,Unplugged,0.48
1571278223758,2019-10-17T02:10:23.758,Unplugged,0.47
1571278326246,2019-10-17T02:12:06.246,Unplugged,0.46
1571278387781,2019-10-17T02:13:07.781,Unplugged,0.45
1571278408272,2019-10-17T02:13:28.272,Unplugged,0.44
1571278428758,2019-10-17T02:13:48.758,Unplugged,0.43
1571278449270,2019-10-17T02:14:09.270,Unplugged,0.42
1571278572242,2019-10-17T02:16:12.242,Unplugged,0.41
1571278634502,2019-10-17T02:17:14.502,Unplugged,0.4
1571278695969,2019-10-17T02:18:15.969,Unplugged,0.39
1571278757418,2019-10-17T02:19:17.418,Unplugged,0.38
1571278777898,2019-10-17T02:19:37.898,Unplugged,0.37
1571278901061,2019-10-17T02:21:41.061,Unplugged,0.36
1571278921531,2019-10-17T02:22:01.531,Unplugged,0.35
1571278942018,2019-10-17T02:22:22.018,Unplugged,0.34
1571278982986,2019-10-17T02:23:02.986,Unplugged,0.33
1571279003575,2019-10-17T02:23:23.575,Unplugged,0.32
1571279023944,2019-10-17T02:23:43.944,Unplugged,0.31
1571279372321,2019-10-17T02:29:32.321,Unplugged,0.3
1571279413310,2019-10-17T02:30:13.310,Unplugged,0.29
1571279638793,2019-10-17T02:33:58.793,Unplugged,0.28
1571279679828,2019-10-17T02:34:39.828,Unplugged,0.27
1571279700342,2019-10-17T02:35:00.342,Unplugged,0.26
1571279720841,2019-10-17T02:35:20.841,Unplugged,0.25
1571279987348,2019-10-17T02:39:47.348,Unplugged,0.24
1571280028307,2019-10-17T02:40:28.307,Unplugged,0.23
1571280274287,2019-10-17T02:44:34.287,Unplugged,0.22
1571280294816,2019-10-17T02:44:54.816,Unplugged,0.21
1571280561339,2019-10-17T02:49:21.339,Unplugged,0.2
1571280643388,2019-10-17T02:50:43.388,Unplugged,0.19
1571280684403,2019-10-17T02:51:24.403,Unplugged,0.18
1571280704943,2019-10-17T02:51:44.943,Unplugged,0.17
1571280766405,2019-10-17T02:52:46.405,Unplugged,0.16
1571280827902,2019-10-17T02:53:47.902,Unplugged,0.15
1571280848413,2019-10-17T02:54:08.413,Unplugged,0.14
1571280930451,2019-10-17T02:55:30.451,Unplugged,0.13
1571280950975,2019-10-17T02:55:50.975,Unplugged,0.12
1571281135428,2019-10-17T02:58:55.428,Unplugged,0.11
1571281196892,2019-10-17T02:59:56.892,Unplugged,0.1
