timestamp,UTC time,event,level
1571050997182,2019-10-14T11:03:17.182,Unplugged,0.73
1571051181614,2019-10-14T11:06:21.614,Unplugged,0.72
1571051187073,2019-10-14T11:06:27.073,Locked,0.72
1571051298109,2019-10-14T11:08:18.109,Unlocked,0.72
1571051365777,2019-10-14T11:09:25.777,Unplugged,0.71
1571051427196,2019-10-14T11:10:27.196,Unplugged,0.7
1571051632754,2019-10-14T11:13:52.754,Unplugged,0.69
1571051688111,2019-10-14T11:14:48.111,Locked,0.69
1571051769610,2019-10-14T11:16:09.610,Unlocked,0.69
1571051776344,2019-10-14T11:16:16.344,Unplugged,0.68
1571051837790,2019-10-14T11:17:17.790,Unplugged,0.67
1571051858281,2019-10-14T11:17:38.281,Unplugged,0.66
1571051899348,2019-10-14T11:18:19.348,Unplugged,0.65
1571051919861,2019-10-14T11:18:39.861,Unplugged,0.64
1571052251305,2019-10-14T11:24:11.305,Locked,0.64
1571052254209,2019-10-14T11:24:14.209,Unlocked,0.64
1571052274266,2019-10-14T11:24:34.266,Locked,0.64
1571052309248,2019-10-14T11:25:09.248,Unplugged,0.63
1571052321385,2019-10-14T11:25:21.385,Unlocked,0.63
1571052350389,2019-10-14T11:25:50.389,Unplugged,0.62
1571052637336,2019-10-14T11:30:37.336,Unplugged,0.61
1571052821847,2019-10-14T11:33:41.847,Unplugged,0.6
1571052842354,2019-10-14T11:34:02.354,Unplugged,0.59
1571052862919,2019-10-14T11:34:22.919,Unplugged,0.58
1571052965497,2019-10-14T11:36:05.497,Unplugged,0.56
1571052985996,2019-10-14T11:36:25.996,Unplugged,0.55
1571053128312,2019-10-14T11:38:48.312,Locked,0.55
