timestamp,UTC time,event,level
1571270411308,2019-10-17T00:00:11.308,Charging,1.0
1571272331726,2019-10-17T00:32:11.726,Unplugged,1.0
1571272340154,2019-10-17T00:32:20.154,Full,1.0
1571272340185,2019-10-17T00:32:20.185,Charging,1.0
1571272663257,2019-10-17T00:37:43.257,Unplugged,1.0
1571272671477,2019-10-17T00:37:51.477,Full,1.0
1571272671853,2019-10-17T00:37:51.853,Charging,1.0
1571272732378,2019-10-17T00:38:52.378,Locked,1.0
1571272791504,2019-10-17T00:39:51.504,Full,1.0
1571272832347,2019-10-17T00:40:32.347,Unplugged,1.0
1571272850557,2019-10-17T00:40:50.557,Unlocked,1.0
1571272888289,2019-10-17T00:41:28.289,Locked,1.0
1571272896072,2019-10-17T00:41:36.072,Unlocked,1.0
1571273242704,2019-10-17T00:47:22.704,Locked,1.0
1571273836115,2019-10-17T00:57:16.115,Unplugged,0.99
