timestamp,UTC time,event,level
1570500018007,2019-10-08T02:00:18.007,Unplugged,0.19
1570500038592,2019-10-08T02:00:38.592,Unplugged,0.18
1570500059204,2019-10-08T02:00:59.204,Unplugged,0.17
1570500346653,2019-10-08T02:05:46.653,Unplugged,0.16
1570500572412,2019-10-08T02:09:32.412,Unplugged,0.15
1570500592884,2019-10-08T02:09:52.884,Unplugged,0.14
1570500757300,2019-10-08T02:12:37.300,Unplugged,0.13
1570500921314,2019-10-08T02:15:21.314,Unplugged,0.12
1570501228854,2019-10-08T02:20:28.854,Unplugged,0.11
1570501373292,2019-10-08T02:22:53.292,Unplugged,0.1
1570501414111,2019-10-08T02:23:34.111,Unplugged,0.09
1570501434634,2019-10-08T02:23:54.634,Unplugged,0.08
1570501455130,2019-10-08T02:24:15.130,Unplugged,0.07
1570501803504,2019-10-08T02:30:03.504,Unplugged,0.06
1570501885425,2019-10-08T02:31:25.425,Unplugged,0.05
1570501922330,2019-10-08T02:32:02.330,Unplugged,0.06
1570501922547,2019-10-08T02:32:02.547,Charging,0.06
1570501963944,2019-10-08T02:32:43.944,Charging,0.07
1570502066994,2019-10-08T02:34:26.994,Charging,0.08
1570502108418,2019-10-08T02:35:08.418,Charging,0.09
1570502170371,2019-10-08T02:36:10.371,Charging,0.1
1570502294047,2019-10-08T02:38:14.047,Charging,0.11
1570502314721,2019-10-08T02:38:34.721,Charging,0.1
1570502479589,2019-10-08T02:41:19.589,Charging,0.11
1570502562084,2019-10-08T02:42:42.084,Charging,0.12
1570502624001,2019-10-08T02:43:44.001,Charging,0.13
1570502665199,2019-10-08T02:44:25.199,Charging,0.14
1570502789120,2019-10-08T02:46:29.120,Charging,0.15
1570502934058,2019-10-08T02:48:54.058,Charging,0.16
1570502995773,2019-10-08T02:49:55.773,Charging,0.17
1570503036978,2019-10-08T02:50:36.978,Charging,0.18
1570503119524,2019-10-08T02:51:59.524,Charging,0.19
1570503140101,2019-10-08T02:52:20.101,Charging,0.18
1570503160728,2019-10-08T02:52:40.728,Charging,0.19
1570503367332,2019-10-08T02:56:07.332,Charging,0.2
1570503449927,2019-10-08T02:57:29.927,Charging,0.21
1570503505983,2019-10-08T02:58:25.983,Unplugged,0.21
1570503572498,2019-10-08T02:59:32.498,Locked,0.21
1570503575071,2019-10-08T02:59:35.071,Unlocked,0.21
