timestamp,UTC time,event,level
1571266834228,2019-10-16T23:00:34.228,Charging,0.95
1571267060366,2019-10-16T23:04:20.366,Charging,0.96
1571267067965,2019-10-16T23:04:27.965,Locked,0.96
1571267127579,2019-10-16T23:05:27.579,Unlocked,0.96
1571267205174,2019-10-16T23:06:45.174,Unplugged,0.96
1571267965433,2019-10-16T23:19:25.433,Unplugged,0.95
1571268006110,2019-10-16T23:20:06.110,Unplugged,0.94
1571268108803,2019-10-16T23:21:48.803,Unplugged,0.93
1571268236830,2019-10-16T23:23:56.830,Locked,0.93
1571268258609,2019-10-16T23:24:18.609,Unlocked,0.93
1571268273247,2019-10-16T23:24:33.247,Charging,0.93
1571268437907,2019-10-16T23:27:17.907,Charging,0.94
1571268581841,2019-10-16T23:29:41.841,Charging,0.95
1571268767150,2019-10-16T23:32:47.150,Charging,0.96
1571268951975,2019-10-16T23:35:51.975,Charging,0.97
1571269219191,2019-10-16T23:40:19.191,Charging,0.98
1571269651263,2019-10-16T23:47:31.263,Charging,0.99
