timestamp,UTC time,event,level
1572228038727,2019-10-28T02:00:38.727,Unlocked,0.25
1572228040069,2019-10-28T02:00:40.069,Charging,0.26
1572228102015,2019-10-28T02:01:42.015,Charging,0.27
1572228163811,2019-10-28T02:02:43.811,Charging,0.28
1572228215993,2019-10-28T02:03:35.993,Locked,0.28
1572228225579,2019-10-28T02:03:45.579,Charging,0.29
1572228245915,2019-10-28T02:04:05.915,Unlocked,0.29
1572228349836,2019-10-28T02:05:49.836,Charging,0.3
1572228411504,2019-10-28T02:06:51.504,Charging,0.31
1572228493987,2019-10-28T02:08:13.987,Charging,0.32
1572228555861,2019-10-28T02:09:15.861,Charging,0.33
1572228638340,2019-10-28T02:10:38.340,Charging,0.34
1572228642031,2019-10-28T02:10:42.031,Locked,0.34
1572228720692,2019-10-28T02:12:00.692,Charging,0.35
1572228761981,2019-10-28T02:12:41.981,Charging,0.36
1572228803210,2019-10-28T02:13:23.210,Charging,0.37
1572228864974,2019-10-28T02:14:24.974,Charging,0.38
1572228947419,2019-10-28T02:15:47.419,Charging,0.39
1572228988504,2019-10-28T02:16:28.504,Locked,0.39
1572228988627,2019-10-28T02:16:28.627,Locked,0.39
1572229009284,2019-10-28T02:16:49.284,Charging,0.4
1572229071130,2019-10-28T02:17:51.130,Charging,0.41
1572229112390,2019-10-28T02:18:32.390,Charging,0.42
1572229153567,2019-10-28T02:19:13.567,Charging,0.43
