timestamp,UTC time,event,level
1570471237484,2019-10-07T18:00:37.484,Unplugged,0.68
1570471750603,2019-10-07T18:09:10.603,Unlocked,0.68
1570471770094,2019-10-07T18:09:30.094,Unplugged,0.67
1570471777676,2019-10-07T18:09:37.676,Locked,0.67
1570472562656,2019-10-07T18:22:42.656,Unlocked,0.67
1570472590188,2019-10-07T18:23:10.188,Unplugged,0.66
1570472610550,2019-10-07T18:23:30.550,Unplugged,0.65
1570472631229,2019-10-07T18:23:51.229,Unplugged,0.64
1570472774579,2019-10-07T18:26:14.579,Unplugged,0.63
1570472815538,2019-10-07T18:26:55.538,Unplugged,0.62
1570472835998,2019-10-07T18:27:15.998,Unplugged,0.61
1570472856496,2019-10-07T18:27:36.496,Unplugged,0.6
1570472897749,2019-10-07T18:28:17.749,Unplugged,0.59
1570472918212,2019-10-07T18:28:38.212,Unplugged,0.58
1570473171772,2019-10-07T18:32:51.772,Locked,0.58
1570473194104,2019-10-07T18:33:14.104,Unlocked,0.58
1570473226687,2019-10-07T18:33:46.687,Unplugged,0.57
1570473234470,2019-10-07T18:33:54.470,Locked,0.57
1570473706349,2019-10-07T18:41:46.349,Unlocked,0.57
1570473759258,2019-10-07T18:42:39.258,Unplugged,0.56
1570473779655,2019-10-07T18:42:59.655,Unplugged,0.55
1570473800186,2019-10-07T18:43:20.186,Unplugged,0.54
1570473820671,2019-10-07T18:43:40.671,Unplugged,0.53
1570473822102,2019-10-07T18:43:42.102,Locked,0.53
1570474364158,2019-10-07T18:52:44.158,Unlocked,0.53
1570474742889,2019-10-07T18:59:02.889,Unplugged,0.52
1570474763451,2019-10-07T18:59:23.451,Unplugged,0.51
1570474783979,2019-10-07T18:59:43.979,Unplugged,0.5
