timestamp,UTC time,event,level
1570410065262,2019-10-07T01:01:05.262,Charging,0.82
1570410167971,2019-10-07T01:02:47.971,Charging,0.83
1570410270749,2019-10-07T01:04:30.749,Charging,0.84
1570410339343,2019-10-07T01:05:39.343,Unplugged,0.84
1570410586589,2019-10-07T01:09:46.589,Unplugged,0.83
1570410935384,2019-10-07T01:15:35.384,Unplugged,0.82
1570410976207,2019-10-07T01:16:16.207,Unplugged,0.81
1570411099159,2019-10-07T01:18:19.159,Unplugged,0.8
1570411143378,2019-10-07T01:19:03.378,Locked,0.8
1570411406441,2019-10-07T01:23:26.441,Unplugged,0.79
1570411449580,2019-10-07T01:24:09.580,Unlocked,0.79
1570411467908,2019-10-07T01:24:27.908,Unplugged,0.78
1570411509190,2019-10-07T01:25:09.190,Unplugged,0.77
1570411714041,2019-10-07T01:28:34.041,Unplugged,0.76
1570411755031,2019-10-07T01:29:15.031,Unplugged,0.75
1570411837007,2019-10-07T01:30:37.007,Unplugged,0.74
1570412021792,2019-10-07T01:33:41.792,Unplugged,0.73
1570412185697,2019-10-07T01:36:25.697,Unplugged,0.72
1570412206297,2019-10-07T01:36:46.297,Unplugged,0.71
1570412308968,2019-10-07T01:38:28.968,Unplugged,0.7
1570412391176,2019-10-07T01:39:51.176,Unplugged,0.69
1570412411672,2019-10-07T01:40:11.672,Unplugged,0.68
1570412555391,2019-10-07T01:42:35.391,Unplugged,0.67
1570412575768,2019-10-07T01:42:55.768,Unplugged,0.66
1570412596254,2019-10-07T01:43:16.254,Unplugged,0.65
1570412719193,2019-10-07T01:45:19.193,Unplugged,0.64
1570412760186,2019-10-07T01:46:00.186,Unplugged,0.63
1570412780674,2019-10-07T01:46:20.674,Unplugged,0.62
1570412986605,2019-10-07T01:49:46.605,Unplugged,0.61
1570413007109,2019-10-07T01:50:07.109,Unplugged,0.6
1570413027596,2019-10-07T01:50:27.596,Unplugged,0.59
1570413048097,2019-10-07T01:50:48.097,Unplugged,0.58
1570413068593,2019-10-07T01:51:08.593,Unplugged,0.57
1570413089116,2019-10-07T01:51:29.116,Unplugged,0.56
1570413109600,2019-10-07T01:51:49.600,Unplugged,0.55
1570413130168,2019-10-07T01:52:10.168,Unplugged,0.54
