timestamp,UTC time,event,level
1570647611973,2019-10-09T19:00:11.973,Unlocked,0.46
1570647633560,2019-10-09T19:00:33.560,Unplugged,0.45
1570647653240,2019-10-09T19:00:53.240,Locked,0.45
1570647669974,2019-10-09T19:01:09.974,Unlocked,0.45
1570647674518,2019-10-09T19:01:14.518,Unplugged,0.44
1570647777014,2019-10-09T19:02:57.014,Unplugged,0.43
1570647818034,2019-10-09T19:03:38.034,Locked,0.43
1570647889750,2019-10-09T19:04:49.750,Unlocked,0.43
1570647900154,2019-10-09T19:05:00.154,Unplugged,0.42
1570648006360,2019-10-09T19:06:46.360,Locked,0.42
1570648178658,2019-10-09T19:09:38.658,Unlocked,0.42
1570648432940,2019-10-09T19:13:52.940,Unplugged,0.41
1570648474007,2019-10-09T19:14:34.007,Locked,0.41
1570648589341,2019-10-09T19:16:29.341,Unlocked,0.41
1570648617509,2019-10-09T19:16:57.509,Unplugged,0.4
1570648637969,2019-10-09T19:17:17.969,Unplugged,0.39
1570648658446,2019-10-09T19:17:38.446,Unplugged,0.38
1570648678942,2019-10-09T19:17:58.942,Unplugged,0.37
1570649129828,2019-10-09T19:25:29.828,Unplugged,0.36
1570649252800,2019-10-09T19:27:32.800,Unplugged,0.35
1570649314261,2019-10-09T19:28:34.261,Unplugged,0.34
1570649366652,2019-10-09T19:29:26.652,Locked,0.34
1570649488783,2019-10-09T19:31:28.783,Unlocked,0.34
1570649560114,2019-10-09T19:32:40.114,Unplugged,0.33
1570649662552,2019-10-09T19:34:22.552,Unplugged,0.32
1570649867461,2019-10-09T19:37:47.461,Unplugged,0.31
1570649928950,2019-10-09T19:38:48.950,Unplugged,0.3
1570649969970,2019-10-09T19:39:29.970,Unplugged,0.29
1570650262871,2019-10-09T19:44:22.871,Locked,0.29
1570650290089,2019-10-09T19:44:50.089,Unlocked,0.29
1570650297896,2019-10-09T19:44:57.896,Unplugged,0.28
1570650318420,2019-10-09T19:45:18.420,Unplugged,0.27
1570650462211,2019-10-09T19:47:42.211,Unplugged,0.26
1570650482524,2019-10-09T19:48:02.524,Unplugged,0.25
1570650503025,2019-10-09T19:48:23.025,Unplugged,0.24
1570650584996,2019-10-09T19:49:44.996,Unplugged,0.23
1570650933868,2019-10-09T19:55:33.868,Unplugged,0.22
1570650954227,2019-10-09T19:55:54.227,Unplugged,0.21
1570650974683,2019-10-09T19:56:14.683,Unplugged,0.2
1570650995189,2019-10-09T19:56:35.189,Unplugged,0.19
1570651036108,2019-10-09T19:57:16.108,Unplugged,0.18
1570651077083,2019-10-09T19:57:57.083,Unplugged,0.17
1570651086468,2019-10-09T19:58:06.468,Locked,0.17
