timestamp,UTC time,event,level
1570414134718,2019-10-07T02:08:54.718,Unplugged,0.53
1570414155040,2019-10-07T02:09:15.040,Unplugged,0.52
1570414175543,2019-10-07T02:09:35.543,Unplugged,0.51
1570414196057,2019-10-07T02:09:56.057,Unplugged,0.5
1570414667194,2019-10-07T02:17:47.194,Unplugged,0.49
1570414892540,2019-10-07T02:21:32.540,Unplugged,0.48
1570414974528,2019-10-07T02:22:54.528,Unplugged,0.47
1570415097469,2019-10-07T02:24:57.469,Unplugged,0.46
1570415118124,2019-10-07T02:25:18.124,Unplugged,0.45
1570415138652,2019-10-07T02:25:38.652,Unplugged,0.44
1570415261625,2019-10-07T02:27:41.625,Unplugged,0.43
1570415692797,2019-10-07T02:34:52.797,Unplugged,0.42
1570415712874,2019-10-07T02:35:12.874,Unplugged,0.41
1570415733339,2019-10-07T02:35:33.339,Unplugged,0.4
1570415897321,2019-10-07T02:38:17.321,Unplugged,0.39
1570416040829,2019-10-07T02:40:40.829,Unplugged,0.38
1570416225229,2019-10-07T02:43:45.229,Unplugged,0.37
1570416840581,2019-10-07T02:54:00.581,Unplugged,0.36
1570417106668,2019-10-07T02:58:26.668,Unplugged,0.35
1570417168110,2019-10-07T02:59:28.110,Unplugged,0.34
