timestamp,UTC time,event,level
1572188432671,2019-10-27T15:00:32.671,Unplugged,0.97
1572188657950,2019-10-27T15:04:17.950,Unplugged,0.96
1572188842286,2019-10-27T15:07:22.286,Unplugged,0.95
1572188910209,2019-10-27T15:08:30.209,Unlocked,0.95
1572188926399,2019-10-27T15:08:46.399,Locked,0.95
1572189026593,2019-10-27T15:10:26.593,Unplugged,0.94
1572189169950,2019-10-27T15:12:49.950,Unplugged,0.93
1572189456633,2019-10-27T15:17:36.633,Unplugged,0.92
1572189661439,2019-10-27T15:21:01.439,Unplugged,0.91
1572189763852,2019-10-27T15:22:43.852,Unplugged,0.9
1572190091476,2019-10-27T15:28:11.476,Unplugged,0.89
1572190357730,2019-10-27T15:32:37.730,Unplugged,0.88
1572190583755,2019-10-27T15:36:23.755,Unplugged,0.87
1572190870491,2019-10-27T15:41:10.491,Unplugged,0.86
1572190969089,2019-10-27T15:42:49.089,Unlocked,0.86
1572190993496,2019-10-27T15:43:13.496,Unplugged,0.85
1572191014019,2019-10-27T15:43:34.019,Unplugged,0.84
1572191096014,2019-10-27T15:44:56.014,Unplugged,0.83
1572191178084,2019-10-27T15:46:18.084,Unplugged,0.82
1572191260101,2019-10-27T15:47:40.101,Unplugged,0.81
1572191280603,2019-10-27T15:48:00.603,Unplugged,0.8
1572191285500,2019-10-27T15:48:05.500,Locked,0.8
1572191751619,2019-10-27T15:55:51.619,Unplugged,0.79
1572191956485,2019-10-27T15:59:16.485,Unplugged,0.78
