timestamp,UTC time,event,level
1572217211526,2019-10-27T23:00:11.526,Charging,0.78
1572217293723,2019-10-27T23:01:33.723,Charging,0.79
1572217312784,2019-10-27T23:01:52.784,Unlocked,0.79
1572217376223,2019-10-27T23:02:56.223,Charging,0.8
1572217479078,2019-10-27T23:04:39.078,Charging,0.81
1572217489305,2019-10-27T23:04:49.305,Unplugged,0.81
1572217961688,2019-10-27T23:12:41.688,Unplugged,0.8
1572218064083,2019-10-27T23:14:24.083,Unplugged,0.79
1572218248573,2019-10-27T23:17:28.573,Unplugged,0.78
1572218330536,2019-10-27T23:18:50.536,Unplugged,0.77
1572218453726,2019-10-27T23:20:53.726,Unplugged,0.76
1572218556194,2019-10-27T23:22:36.194,Unplugged,0.75
1572218658625,2019-10-27T23:24:18.625,Unplugged,0.74
1572218945486,2019-10-27T23:29:05.486,Unplugged,0.73
1572219007007,2019-10-27T23:30:07.007,Unplugged,0.72
1572219191315,2019-10-27T23:33:11.315,Unplugged,0.71
1572219232612,2019-10-27T23:33:52.612,Unplugged,0.7
1572219355644,2019-10-27T23:35:55.644,Unplugged,0.69
1572219458196,2019-10-27T23:37:38.196,Unplugged,0.68
1572219704933,2019-10-27T23:41:44.933,Unplugged,0.67
1572219889244,2019-10-27T23:44:49.244,Unplugged,0.66
1572220094171,2019-10-27T23:48:14.171,Unplugged,0.65
1572220237583,2019-10-27T23:50:37.583,Unplugged,0.64
1572220340092,2019-10-27T23:52:20.092,Unplugged,0.63
1572220401700,2019-10-27T23:53:21.700,Unplugged,0.62
1572220544890,2019-10-27T23:55:44.890,Unplugged,0.61
1572220586224,2019-10-27T23:56:26.224,Unplugged,0.6
