timestamp,UTC time,event,level
1570475132281,2019-10-07T19:05:32.281,Unplugged,0.49
1570475234730,2019-10-07T19:07:14.730,Unplugged,0.48
1570475296252,2019-10-07T19:08:16.252,Unplugged,0.47
1570475316776,2019-10-07T19:08:36.776,Unplugged,0.46
1570475644595,2019-10-07T19:14:04.595,Unplugged,0.45
1570475747713,2019-10-07T19:15:47.713,Unplugged,0.44
1570475870749,2019-10-07T19:17:50.749,Unplugged,0.43
1570476034675,2019-10-07T19:20:34.675,Unplugged,0.42
1570476096355,2019-10-07T19:21:36.355,Unplugged,0.41
1570476116772,2019-10-07T19:21:56.772,Unplugged,0.4
1570476137241,2019-10-07T19:22:17.241,Unplugged,0.39
1570476260214,2019-10-07T19:24:20.214,Unplugged,0.38
1570476588027,2019-10-07T19:29:48.027,Unplugged,0.37
1570476629046,2019-10-07T19:30:29.046,Unplugged,0.36
1570476751921,2019-10-07T19:32:31.921,Unplugged,0.35
1570476792944,2019-10-07T19:33:12.944,Unplugged,0.34
1570476915922,2019-10-07T19:35:15.922,Unplugged,0.33
1570476997858,2019-10-07T19:36:37.858,Unplugged,0.32
1570477018376,2019-10-07T19:36:58.376,Unplugged,0.31
1570477059375,2019-10-07T19:37:39.375,Unplugged,0.3
1570477079904,2019-10-07T19:37:59.904,Unplugged,0.29
1570477407856,2019-10-07T19:43:27.856,Unplugged,0.28
1570477469401,2019-10-07T19:44:29.401,Unplugged,0.27
1570477489826,2019-10-07T19:44:49.826,Unplugged,0.26
1570477571779,2019-10-07T19:46:11.779,Unplugged,0.25
1570477633199,2019-10-07T19:47:13.199,Unplugged,0.24
1570477756141,2019-10-07T19:49:16.141,Unplugged,0.23
1570477803023,2019-10-07T19:50:03.023,Locked,0.23
1570477833302,2019-10-07T19:50:33.302,Unlocked,0.23
1570477858620,2019-10-07T19:50:58.620,Unplugged,0.22
1570477879122,2019-10-07T19:51:19.122,Unplugged,0.21
1570477961179,2019-10-07T19:52:41.179,Unplugged,0.2
1570478022783,2019-10-07T19:53:42.783,Unplugged,0.19
1570478043389,2019-10-07T19:54:03.389,Unplugged,0.18
1570478125607,2019-10-07T19:55:25.607,Unplugged,0.17
1570478330554,2019-10-07T19:58:50.554,Unplugged,0.16
1570478351032,2019-10-07T19:59:11.032,Unplugged,0.15
1570478371499,2019-10-07T19:59:31.499,Unplugged,0.14
1570478391951,2019-10-07T19:59:51.951,Unplugged,0.13
