timestamp,UTC time,event,level
1570651208592,2019-10-09T20:00:08.592,Unlocked,0.17
1570651256659,2019-10-09T20:00:56.659,Unplugged,0.18
1570651256868,2019-10-09T20:00:56.868,Charging,0.18
1570651298953,2019-10-09T20:01:38.953,Charging,0.19
1570651360949,2019-10-09T20:02:40.949,Charging,0.2
1570651443381,2019-10-09T20:04:03.381,Charging,0.21
1570651546865,2019-10-09T20:05:46.865,Charging,0.22
1570651608641,2019-10-09T20:06:48.641,Charging,0.23
1570651794512,2019-10-09T20:09:54.512,Charging,0.24
1570651833133,2019-10-09T20:10:33.133,Locked,0.24
1570651835696,2019-10-09T20:10:35.696,Charging,0.25
1570651856315,2019-10-09T20:10:56.315,Charging,0.24
1570651876917,2019-10-09T20:11:16.917,Charging,0.25
1570651938699,2019-10-09T20:12:18.699,Charging,0.26
1570651979869,2019-10-09T20:12:59.869,Charging,0.27
1570652021122,2019-10-09T20:13:41.122,Charging,0.28
1570652103579,2019-10-09T20:15:03.579,Charging,0.29
1570652185942,2019-10-09T20:16:25.942,Charging,0.3
1570652227136,2019-10-09T20:17:07.136,Charging,0.31
1570652268346,2019-10-09T20:17:48.346,Charging,0.32
1570652330225,2019-10-09T20:18:50.225,Charging,0.33
1570652375215,2019-10-09T20:19:35.215,Unplugged,0.33
1570652443405,2019-10-09T20:20:43.405,Charging,0.33
1570652479126,2019-10-09T20:21:19.126,Unlocked,0.33
1570652485354,2019-10-09T20:21:25.354,Charging,0.34
1570652535700,2019-10-09T20:22:15.700,Locked,0.34
1570652588086,2019-10-09T20:23:08.086,Charging,0.35
1570652629348,2019-10-09T20:23:49.348,Charging,0.36
1570652640482,2019-10-09T20:24:00.482,Unlocked,0.36
1570652670606,2019-10-09T20:24:30.606,Charging,0.37
1570652679699,2019-10-09T20:24:39.699,Locked,0.37
1570652753022,2019-10-09T20:25:53.022,Charging,0.38
1570652773924,2019-10-09T20:26:13.924,Unlocked,0.38
1570652856061,2019-10-09T20:27:36.061,Charging,0.39
1570652919967,2019-10-09T20:28:39.967,Unplugged,0.39
1570653064540,2019-10-09T20:31:04.540,Unplugged,0.38
1570653146306,2019-10-09T20:32:26.306,Unplugged,0.37
1570653187248,2019-10-09T20:33:07.248,Unplugged,0.36
1570653291962,2019-10-09T20:34:51.962,Locked,0.36
1570653520978,2019-10-09T20:38:40.978,Unlocked,0.36
1570653596984,2019-10-09T20:39:56.984,Unplugged,0.35
1570653617500,2019-10-09T20:40:17.500,Unplugged,0.34
1570653637989,2019-10-09T20:40:37.989,Unplugged,0.33
1570653842827,2019-10-09T20:44:02.827,Unplugged,0.32
1570653904363,2019-10-09T20:45:04.363,Unplugged,0.31
1570654006837,2019-10-09T20:46:46.837,Unplugged,0.3
1570654047839,2019-10-09T20:47:27.839,Unplugged,0.29
1570654170749,2019-10-09T20:49:30.749,Unplugged,0.28
1570654187065,2019-10-09T20:49:47.065,Locked,0.28
